Year,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
1980,17.1,19.8,24.8,31.7,28.2,28.6,28.5,28.8,28.8,26.3,23,19.2
1981,17.3,20.3,24.1,26.1,27.4,29.1,28.2,28.9,28.3,27.2,22.5,17.5
1982,17.8,19.4,23.4,27.9,30.5,28.7,29.4,28.1,29.2,26.5,21.6,17.6
1983,16.3,19,25.3,27.6,28.1,30.1,29.3,28.4,28.5,26.6,22.4,17.1
1984,16.4,18.8,25.5,30.2,29,28.2,28,28.4,28,27.2,21.9,17.8
1985,17.7,19.3,26.7,30.3,28,28.9,27.6,28.7,28.1,26.3,21.9,18.6
1986,17.5,19.9,25.7,27.8,28.1,29.5,28.4,29.2,27.3,25.5,22.8,18.8
1987,17.3,20.9,25.5,28.5,30.2,29.9,28,28.3,28.7,27.1,22.8,18.9
1988,17.7,20.7,24.6,28.9,28.8,28.4,28.5,28.8,29.3,26.8,23,19.6
1989,15.6,19.4,24.6,30.3,30,28.9,28.2,28.8,28.1,27.1,21.8,17.3
1990,17,20.2,23.1,27.9,28.1,29.2,28.3,29.1,28.3,25.1,23.4,17.9
1991,16.2,20.9,25.6,29.1,29,28.8,28.7,29,28,26.2,21.1,17.3
1992,16.4,18.4,25.8,30.5,29,29.9,28.2,28.8,28.5,26.4,21.8,17.1
1993,15.8,21,23.8,27.7,28.3,28.8,28.8,28.6,27.9,27,23,19.1
1994,17.5,18.7,25.3,28.5,29.9,28.7,28.8,28.9,28,26.3,22.4,17.7
1995,15.7,19.3,24.5,30.2,31.2,29.4,28.4,28.5,28.2,27.2,22.5,18.1
1996,16.8,20.1,26.4,29.1,30.4,28.5,28.9,28.4,29,26.1,21.9,17.9
1997,16,18.8,25.1,26,29.5,29.2,28.4,28.8,27.8,25.9,22.8,17.4
1998,15.1,19.9,22.8,27.6,29.5,30.9,28.9,29,28.6,27.8,24.2,19.1
1999,17,21.3,26,30.9,29.1,29.4,28.5,28.4,27.8,27.1,22.9,19.3
2000,16.4,18.5,24.2,28.3,28.1,29.1,29.1,29.3,27.7,27.1,23.2,18.2
2001,15.9,20,24.8,29.3,27.8,28.6,28.8,29.5,28.7,27.1,23.4,17.7
2002,17.8,20.3,25.3,27.6,27.9,28.9,29.2,28.8,28.4,26.4,22.6,18.1
2003,14.3,20.1,23.7,29.1,29.7,29.2,29.3,29.5,28.6,26.7,22.4,18.6
2004,15.7,20,26.6,28.4,30.6,28.9,28.6,29.1,27.8,25.9,22,19.3
2005,16.9,21.6,25.7,29.1,29.3,30.4,28.7,29.2,29,26,21.5,18.6
2006,16.7,23,25.4,28.7,29,29.5,29.2,28.9,28.3,27.2,22.3,18.4
2007,16,19.8,23.5,28.7,29.6,29,28.5,29.3,28.7,26.9,23,17.4
2008,16.7,18.4,26,29,29.1,28.4,28.4,29,28.6,26.3,22,19.3
2009,17.5,20.3,25,30,28.9,31,29.3,28.9,28.9,26.3,22.8,17.4
2010,15.1,20.3,27.2,31.3,30.1,29.8,29.7,29.6,28.6,27,23.2,17.4
2011,14.7,19.6,25.6,27.6,28.7,29.3,29.3,28.5,28.7,27.2,22.2,17.4
2012,16.7,19.8,25.2,28.6,31.4,30.6,29,29.5,28.9,26.4,21.3,16.6
2013,15.5,20.2,25.5,28.9,28.7,29.9,29.8,29,29.2,26.5,21.8,18.1
2014,16.2,18.6,24.4,29.8,30.6,29.9,29.7,29.2,29,26.7,21.7,17.2
2015,16.6,20.6,24.8,27.1,30.1,29.7,29,29.5,29.2,27,23.1,18.2
2016,16.4,21.7,26.1,30.5,28.6,30.1,28.9,29.7,29.1,27.5,22.6,18.7
2017,17.2,20.4,24.2,28.3,29.3,30,28.7,29.6,29.1,27.2,22.3,19.3
2018,14.2,20.7,25.7,27.4,28.1,30.3,29.4,30,29.3,25.9,21.9,17.2
2019,16.5,19.3,24,27.9,30.3,30.5,29.5,30,28.7,26.3,23,17.3
2020,16.5,18.9,24.1,27.4,28.3,29.5,29.4,30,29.5,28.3,22.6,17.9
2021,16.5,19.9,26.1,29.3,28.6,29,29.6,29.3,29.1,27.8,22.3,19.2
2022,16.8,18.4,26.5,30.3,28.9,30,30.6,29.7,29,27.2,22.4,19
2023,16.7,20.9,25.1,28.7,29.2,31,30.7,29.7,29.5,27.1,23.5,19.6
2024,15.4,19.9,24.3,30.7,30,31.2,30.4,29.1,29.4,27.7,23.2,18
2025,15.931,19.847,24.606,30.186,30.033,30.924,30.382,29.47,29.465,27.589,23.175,18.52
