Year,Average
1980,25.400000000000002
1981,24.74166666666667
1982,25.008333333333336
1983,24.891666666666666
1984,24.95
1985,25.174999999999997
1986,25.041666666666668
1987,25.508333333333336
1988,25.425
1989,25.008333333333336
1990,24.799999999999997
1991,24.99166666666667
1992,25.066666666666666
1993,24.983333333333338
1994,25.058333333333334
1995,25.26666666666667
1996,25.291666666666668
1997,24.641666666666666
1998,25.283333333333335
1999,25.641666666666666
2000,24.933333333333334
2001,25.13333333333333
2002,25.108333333333338
2003,25.100000000000005
2004,25.24166666666667
2005,25.5
2006,25.55
2007,25.03333333333333
2008,25.099999999999998
2009,25.525000000000002
2010,25.774999999999995
2011,24.899999999999995
2012,25.33333333333334
2013,25.258333333333336
2014,25.249999999999996
2015,25.40833333333333
2016,25.825
2017,25.466666666666665
2018,25.00833333333333
2019,25.275000000000002
2020,25.2
2021,25.558333333333334
2022,25.73333333333333
2023,25.974999999999998
2024,25.775000000000002
